17:28:31 | INFO     | NeuroFocus | VideoThread инициализирован
17:28:31 | INFO     | NeuroFocus | Приложение запущено успешно
17:28:37 | WARNING  | NeuroFocus | Лицо пользователя потеряно на 5.0 секунд
17:31:00 | INFO     | NeuroFocus | VideoThread инициализирован
17:31:00 | INFO     | NeuroFocus | Приложение запущено успешно
17:31:06 | WARNING  | NeuroFocus | Лицо пользователя потеряно на 5.0 секунд
17:36:00 | INFO     | NeuroFocus | VideoThread инициализирован
17:36:00 | INFO     | NeuroFocus | Приложение запущено успешно
17:36:07 | WARNING  | NeuroFocus | Лицо пользователя потеряно на 5.0 секунд
17:38:57 | INFO     | NeuroFocus | VideoThread инициализирован
17:38:57 | INFO     | NeuroFocus | Приложение запущено успешно
17:40:34 | INFO     | NeuroFocus | VideoThread инициализирован
17:40:34 | INFO     | NeuroFocus | Приложение запущено успешно
17:40:41 | WARNING  | NeuroFocus | Лицо пользователя потеряно на 5.0 секунд
17:42:01 | INFO     | NeuroFocus | VideoThread инициализирован
17:42:01 | INFO     | NeuroFocus | Приложение запущено успешно
17:42:08 | WARNING  | NeuroFocus | Лицо пользователя потеряно на 5.0 секунд
17:50:01 | INFO     | NeuroFocus | Завершение работы приложения...
17:50:02 | INFO     | NeuroFocus | Ежедневный прогресс обновлен
17:50:02 | INFO     | NeuroFocus | Приложение завершено
