11:35:55 | INFO     | NeuroFocus | Starting NeuroFocus application
11:35:56 | INFO     | NeuroFocus | Emotion detector initialized
11:35:56 | INFO     | NeuroFocus | VideoThread инициализирован
11:35:56 | INFO     | NeuroFocus | Приложение запущено успешно
11:35:57 | INFO     | NeuroFocus | Main window displayed
11:36:00 | INFO     | NeuroFocus | VideoThread: камера запущена
11:36:00 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:00 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:00 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:00 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:00 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:01 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:02 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:03 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:03 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:03 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:03 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:03 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:03 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:03 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:03 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:03 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:03 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:03 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:03 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:03 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:03 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:03 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
11:36:03 | DEBUG    | NeuroFocus | Hand: detected=False, gesture=none
